date,shipped_kg
2019-10-17,1618.56
2019-10-18,1912.32
2019-10-19,0.0
2019-10-20,3352.3199999999997
2019-10-21,0.0
2019-10-22,5333.76
2019-10-23,3369.6
2019-10-24,3686.3999999999996
2019-10-25,5264.639999999999
2019-10-26,0.0
2019-10-27,6192.0
2019-10-28,4366.08
2019-10-29,0.0
2019-10-30,8611.199999999999
2019-10-31,6612.48
2019-11-01,6209.28
2019-11-02,0.0
2019-11-03,0.0
2019-11-04,8968.32
2019-11-05,4354.5599999999995
2019-11-06,5160.96
2019-11-07,5541.12
2019-11-08,5685.12
2019-11-09,0.0
2019-11-10,8398.08
2019-11-11,4429.44
2019-11-12,0.0
2019-11-13,9204.48
2019-11-14,5708.16
2019-11-15,6531.84
2019-11-16,0.0
2019-11-17,7948.799999999999
2019-11-18,6001.92
2019-11-19,0.0
2019-11-20,10753.92
2019-11-21,9031.68
2019-11-22,0.0
2019-11-23,0.0
2019-11-24,11548.8
2019-11-25,7488.0
2019-11-26,0.0
2019-11-27,10563.84
2019-11-28,6785.28
2019-11-29,7384.32
2019-11-30,0.0
2019-12-01,8311.68
2019-12-02,9210.24
2019-12-03,0.0
2019-12-04,11548.8
2019-12-05,8346.24
2019-12-06,9774.72
2019-12-07,0.0
2019-12-08,11427.84
2019-12-09,9267.84
2019-12-10,0.0
2019-12-11,13829.76
2019-12-12,10846.08
2019-12-13,12625.92
2019-12-14,0.0
2019-12-15,16548.48
2019-12-16,12746.88
2019-12-17,0.0
2019-12-18,18771.84
2019-12-19,11139.84
2019-12-20,12672.0
2019-12-21,0.0
2019-12-22,11208.96
2019-12-23,7712.639999999999
2019-12-24,7505.28
2019-12-25,7188.48
2019-12-26,7660.799999999999
2019-12-27,7603.2
2019-12-28,6837.12
2019-12-29,6353.28
2019-12-30,8703.36
2019-12-31,11214.72
2020-01-01,0.0
2020-01-02,0.0
2020-01-03,0.0
2020-01-04,12781.439999999999
2020-01-05,11306.88
2020-01-06,0.0
2020-01-07,0.0
2020-01-08,15448.32
2020-01-09,9204.48
2020-01-10,9383.039999999999
2020-01-11,0.0
2020-01-12,0.0
2020-01-13,11145.6
2020-01-14,6923.5199999999995
2020-01-15,5748.48
2020-01-16,6359.04
2020-01-17,7678.08
2020-01-18,0.0
2020-01-19,6405.12
2020-01-20,5592.96
2020-01-21,0.0
2020-01-22,7672.32
2020-01-23,5454.719999999999
2020-01-24,6589.44
2020-01-25,0.0
2020-01-26,6071.04
2020-01-27,5541.12
2020-01-28,0.0
2020-01-29,6871.679999999999
2020-01-30,4429.44
2020-01-31,5725.44
2020-02-01,0.0
2020-02-02,6278.4
2020-02-03,6048.0
2020-02-04,0.0
2020-02-05,8144.639999999999
2020-02-06,6456.96
2020-02-07,8369.279999999999
2020-02-08,0.0
2020-02-09,10903.68
2020-02-10,0.0
2020-02-11,10938.24
2020-02-12,7695.36
2020-02-13,7441.92
2020-02-14,10321.92
2020-02-15,0.0
2020-02-16,9325.44
2020-02-17,7597.44
2020-02-18,0.0
2020-02-19,9809.279999999999
2020-02-20,6226.5599999999995
2020-02-21,7741.44
